Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-09-23,2024-09-23,"9620 Commerce Drive  Dansville, NY, 14437",Livingston,Layoff,Permanent,Other,9,9,9
"Cygnus Home Service, LLC, d/b/a Yelloh",2024-05-28,2024-05-28,2024-06-05,"19560 Cady Road  Adams Center, NY, 13606",Jefferson,Layoff,Permanent,Other,25,9,9
"Delta Apparel, Incorporated",2024-08-29,2024-06-30,2024-07-17,"1215 The Arches Circle  Deer Park, NY, 11729",Suffolk,Closure,Permanent,Sale of Business Other,1,8,8
"Delta Apparel, Incorporated",2024-08-29,2024-06-30,2024-07-17,"1220 Tanger Mall Drive  Riverhead, NY, 11901",Suffolk,Closure,Permanent,Sale of Business Other,2,6,6
"Devos, LTD d/b/a Guaranteed Returns",2024-03-15,2024-02-29,2024-03-01,"100 Colin Drive  Holbrook, NY, 11741",Suffolk,Closure,Permanent,Government Ordered Closing,1,109,109
DKP Buffalo LLC,2024-04-30,2024-01-19,2024-02-02,"175 Ensminger Rd  Tonawanda, NY, 14150",Erie,Layoff,Permanent,Contract Loss,48,36,36
"DOTC Delivery, LLC.",2024-05-07,2024-04-29,2024-05-06,"1 Bulova Ave  Woodside, NY, 11377",Queens,Closure,Permanent,Contract Termination,8,105,105
"Durham School Services, LP",2024-10-22,2024-07-24,2024-07-29,"108 Silas Lane  Oneonta, NY, 13820",Otsego,Closure,Permanent,Contract Termination,2,35,35
"East 54 Hotel Management, LLC.",2025-06-30,2024-12-20,2025-07-22,"60 East 54th Street  New York, NY, 10022",New York,Closure,Temporary,Building Renovations,1,44,44
"Electric Peppers LLC, DBA Revel",2024-09-12,2024-06-06,2024-06-10,"42-09 28th St  Queens, NY, NY, 11101",Queens,Layoff,Permanent,Other,18,232,232
"Electric Peppers LLC, DBA Revel",2024-09-12,2024-06-06,2024-06-10,"630 Flushing Ave  Brooklyn, NY, 11206",Kings,Layoff,Permanent,Other,16,359,359
"Electric Peppers LLC, DBA Revel",2024-09-12,2024-06-06,2024-06-10,"668 W 58th St.  New York, NY, 10019",New York,Layoff,Permanent,Other,17,200,200
Elementis SRL Inc.,2024-06-30,2024-03-06,2024-03-12,"15 Big Pond Road  Huguenot, NY, 12746",Orange,Closure,Permanent,Relocation of Business,10,24,24
Elementis SRL Inc.,2024-06-30,2024-03-06,2024-03-12,"146 Tower Drive  Middletown, NY, 10941",Orange,Closure,Permanent,Relocation of Business,11,13,13
Ellis Hospital Inc.-Ellis Residential and Rehabilitation Center,2024-06-16,2024-06-17,2024-09-18,"600 McClellan St  Schenectady, NY, 12304",Schenectady,Closure,Permanent,Economic Sale of Business,2,33,33
"Equiniti Trust Company, LLC",2024-09-30,2024-06-27,2024-06-28,"48 Wall Street  New York, NY, 10005",New York,Layoff,Permanent,Economic,45,27,27
"Express, LLC and Express Fashion Operations, LLC",2024-07-20,2024-04-21,2024-04-22,"111 Fifth Avenue  New York, NY, 10003",New York,Closure,Permanent,Bankruptcy,3,169,169
"Fila USA, Inc.",2025-02-06,2024-11-04,2024-11-13,"1411 Broadway 30th Floor New York, NY, 10018",New York,Layoff,Permanent,Other,6,98,98
First Student,2024-06-30,2024-06-11,2024-06-20,"32780 US Route 11  Philadelphia, NY, 13673",Jefferson,Closure,Permanent,Contract Termination,3,128,128
"First Transit, Inc. a subsidiary of Transdev, North America Inc.",2024-06-30,2024-03-21,2024-03-22,"2700 Millersport Hwy  Getzville, NY, 14068",Erie,Closure,Permanent,Contract Loss Economic,1,65,65
"Fluor Corporation, Fluor Enterprises, Inc.; Fluor Industrial Services, Inc.",2024-04-15,2024-01-12,2024-01-22,"2070 Route 52  Hopewell Junction, NY, 12533",Dutchess,Layoff,Permanent,Contract Loss,52,31,31
"Fotografiska NYC, LP.",2024-08-21,2024-05-23,2024-05-23,"281 Park Avenue South  New York, NY, 10010",New York,Closure,Permanent,Economic,61,137,137
"Frito-Lay, Inc.",2024-08-30,2024-05-29,2024-05-29,"79 Industrial Place  Middletown, NY, 10940",Orange,Layoff,Permanent,Economic,59,88,88
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"28 Kellogg Road  Cortland, NY, 13045",Cortland,Closure,Permanent,Contract Loss,38,20,20
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"90 North Main Steet  Castleton On Hudson, NY, 12033",Rensselaer,Closure,Permanent,Contract Loss,43,11,11
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"105 W Sheedy Road  Vestal, NY, 13850",Broome,Closure,Permanent,Contract Loss,35,19,19
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"116 Martin Luther King  Syracuse, NY, 13205",Onondaga,Closure,Permanent,Contract Loss,41,18,18
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"159-163 Front Street  Binghamton, NY, 13905",Broome,Closure,Permanent,Contract Loss,36,17,17
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"193 Clinton Ave  Cortland, NY, 13045",Cortland,Closure,Permanent,Contract Loss,39,13,13
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"301 Nantucket Drive  Endicott, NY, 13760",Broome,Closure,Permanent,Contract Loss,37,10,10
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"302 Swart Hill Road  Amsterdam, NY, 12010",Montgomery,Closure,Permanent,Contract Loss,40,10,10
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"325 Northern Blvd  Albany, NY, 12204",Albany,Closure,Permanent,Contract Loss,34,13,13
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"1070 Luther Road  East Greenbush, NY, 12061",Rensselaer,Closure,Permanent,Contract Loss,44,24,24
"Gem Rehab PT, OT, SLP, PLLC",2024-03-01,2024-02-20,2024-02-20,"5075 Seneca Turnpike  Syracuse, NY, 13215",Onondaga,Closure,Permanent,Contract Loss,42,40,40
General Electric Company d/b/a GE Aerospace,2024-12-31,2024-10-02,2024-10-03,"1 River Road  Schenectady, NY, 12345",Schenectady,Layoff,Permanent,Other,7,72,72
Genpak LLC,2024-08-27,2024-05-29,2024-05-30,"26 Republic Plaza  Middletown, NY, 10940",Orange,Closure,Permanent,Economic,58,138,138
"GEODIS SCO USA, LLC",2024-10-20,2024-07-22,2024-07-24,"1701 North St Suite 4601 Endicott, NY, 13760",Broome,Closure,Permanent,Contract Loss,27,36,36
GKN Aerospace Monitor Inc.,2024-12-31,2024-09-24,2024-09-30,"1000 New Horizons Blvd  Amityville, NY, 11701",Suffolk,Closure,Permanent,Economic,22,78,78
"Global Security Solutions, Inc.",2024-09-06,2024-08-08,2024-08-21,"1 Kenilworth Place  Brooklyn, NY, 11212",Kings,Layoff,Permanent,Contract Loss,18,32,32
"Global Security Solutions, Inc.",2024-09-06,2024-05-29,2024-08-21,"12-02 37th Ave,  Long Island City, NY, 11101",Queens,Layoff,Permanent,Contract Loss,22,34,34
"Global Security Solutions, Inc.",2024-09-06,2024-05-29,2024-08-21,"66 Clay St  Brooklyn, NY, 11222",Kings,Layoff,Permanent,Contract Loss,19,25,25
"Global Security Solutions, Inc.",2024-09-06,2024-05-29,2024-08-21,"73-00 Queens Blvd,  Woodside, NY, 11377",Queens,Layoff,Permanent,Contract Loss,23,33,33
"Global Security Solutions, Inc.",2024-09-06,2024-05-29,2024-08-21,"112-15 Northern Blvd  Corona, NY, 11368",Queens,Layoff,Permanent,Contract Loss,24,29,29
"Global Security Solutions, Inc.",2024-09-06,2024-08-08,2024-08-21,"156 Bruckner Blvd, Bronx,  Bronx, NY, 10454",Bronx,Layoff,Permanent,Contract Loss,17,28,28
"Global Security Solutions, Inc.",2024-09-06,2024-05-29,2024-08-21,"201-05 & 202-05 Jamaica Ave  Hollis, NY, 11423",Queens,Layoff,Permanent,Contract Loss,25,35,35
"Global Security Solutions, Inc.",2024-09-06,2024-05-29,2024-08-21,"1040 East New York Ave  Brooklyn, NY, 11212",Kings,Layoff,Permanent,Contract Loss,20,18,18
"Global Security Solutions, Inc.",2024-09-06,2024-05-29,2024-08-21,"1616 Summerfield St  Ridgewood, NY, 11385",Queens,Layoff,Permanent,Contract Loss,26,23,23
