Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
Eastman Kodak Company (Kodak Office),2017-12-31,2017-10-03,2017-10-03,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,54,2,2
Eastman Kodak Company (Kodak Office),2017-12-10,2017-09-12,2017-09-12,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,101,1,1
Eastman Kodak Company (Kodak Office),2017-11-16,2017-08-18,2017-08-18,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,113,1,1
Eastman Kodak Company (Kodak Office),2017-07-18,2017-04-20,2017-04-20,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,191,1,1
Eastman Kodak Company (Kodak Office),2017-05-16,2017-02-16,2017-02-16,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,229,3,3
Eastman Kodak Company (Kodak Office),2017-01-31,2017-01-31,2017-01-31,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,233,1,1
Eastman Kodak Company (Kodak Research Labs),2018-02-27,2017-11-30,2017-11-30,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,18,48,48
Eastman Kodak Company (Kodak Research Labs),2017-12-05,2017-09-07,2017-09-07,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,104,1,1
Eastman Kodak Company (Kodak Research Labs),2017-11-07,2017-08-10,2017-08-10,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,119,4,4
Eastman Kodak Company (Kodak Research Labs),2017-04-16,2017-01-17,2017-01-17,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,238,7,7
Elite Daily Inc.,2017-04-17,2017-04-17,2017-04-17,"30 W. 24th Street   New York, NY, 10010",New York,,N/A,Sale of business,9,47,47
"Elmwood Country Club, Inc.",2017-09-30,2017-06-27,2017-06-27,"850 Dobbs Ferry Road  White Plains, NY, 10607",Westchester,,N/A,Property being sold,1,76,76
Exclusive Group Travel,2017-07-02,2017-03-28,2017-03-28,"999 Stewart Avenue, Suite 210  Bethpage, NY, 11714",Nassau,,N/A,Economic,203,116,116
"Exel Inc., DBA DHLSupply Chain",2017-09-30,2017-06-23,2017-06-23,"10 Sheridan Drive  Tonawanda, NY, 14150",Erie,,N/A,Economic,150,42,42
Father Flanagan's Boys Home (aka Boys Town) 100th St,2017-09-24,2017-06-26,2017-06-26,"410 East 100th Street, #2  New York, NY, 10029",New York,,N/A,Economic,147,5,5
Father Flanagan's Boys Home (aka Boys Town) Bergen st,2017-09-24,2017-06-26,2017-06-26,"535 Bergen Street  Brooklyn, NY, 11217",Kings,,N/A,Economic,144,18,18
Father Flanagan's Boys Home (aka Boys Town) Dean St,2017-09-24,2017-06-26,2017-06-26,"525 Dean Street  Brooklyn, NY, 11217",Kings,,N/A,Economic,145,40,40
Father Flanagan's Boys Home (aka Boys Town) Fulton St,2017-09-24,2017-06-26,2017-06-26,"1368 North Fulton Street  Brooklyn, NY, 11216",Kings,,N/A,Economic,146,10,10
Father Flanagan's Boys Home (aka Boys Town) Park Ave,2017-09-24,2017-06-26,2017-06-26,"451 Park Avenue South, 2nd Floor  New York, NY, 10016",New York,,N/A,Economic,148,0,0
Father Flanagan's Boys Home (aka Boys Town) Queens,2017-09-24,2017-06-26,2017-06-26,"132-04 107th Avenue  Queens, NY, 11419",Queens,,N/A,Economic,149,19,19
FedEx Corporate Services. Inc.,2017-12-31,2017-09-15,2017-09-15,"68 South Service Road, Suite 340  Melville, NY, 11747",Suffolk,,N/A,Economic,98,61,61
"First Student, Inc. (#11318)",2017-06-30,2017-04-01,2017-04-01,"3082 Route 208  Wallkill, NY, 12589",Ulster,,N/A,Loss of Valley Central Wallkill School District contract,1,113,113
"First Student, Inc. (#12474)",2017-06-30,2017-04-01,2017-04-01,"1 Wallkill Avenue  Wallkill, NY, 12589",Ulster,,N/A,Loss of The Valley Central School District contract,1,125,125
Gander Mountain Company,2017-07-30,2017-04-25,2017-04-25,"8635 Clinton Street  New Hartford, NY, 13413",Oneida,,N/A,Economic,189,32,32
Gander Mountain Company (Cicero),2017-08-17,2017-06-01,2017-06-01,"5864 Carmenica Drive  Cicero, NY, 13039",Onondaga,,N/A,Economic,172,36,36
Gander Mountain Company (Erie),2017-08-17,2017-06-01,2017-06-01,"880 Young Street  Tonawanda, NY, 14150",Erie,,N/A,Economic,168,31,31
Gander Mountain Company (Johnson City),2017-08-17,2017-06-01,2017-06-01,"528 Harry L Dr.  Johnson City, NY, 13790",Broome,,N/A,Economic,167,38,38
Gander Mountain Company (Kingston),2017-08-17,2017-06-01,2017-06-01,"705 Frank Sottile Blvd  Kingston, NY, 12401",Ulster,,N/A,Economic,173,40,40
Gander Mountain Company (Rochester),2017-08-17,2017-06-01,2017-06-01,"300 Jay Scutti Road  Rochester, NY, 14623",Monroe,,N/A,Economic,171,36,36
Gander Mountain Company (Wallkill),2017-08-17,2017-06-01,2017-06-01,"100 N Galleria Drive  Wallkill, NY, 10941",Ulster,,N/A,Economic,174,44,44
Gander Mountain Company (Watertown),2017-08-17,2017-06-01,2017-06-01,"21182 Salmon Run Mail Loop West  Watertown, NY, 13601",Jefferson,,N/A,Economic,170,39,39
Gannett National Shared Services,2017-10-12,2017-07-13,2017-07-13,"33 Lewis Road, Suite 9  Binghamton, NY, 13905",Broome,,N/A,Economic,133,31,31
"Gate Aviation Services, Inc.",2017-04-19,2017-01-19,2017-01-19,"LaGuardia Airport Delta-Flight Center, Terminal D  Queens, NY, 11371",Queens,,N/A,Separations resulting from the contract termination,1,203,203
General Electric Company - Industrial Automation Systems Department,2017-03-31,2017-01-27,2017-01-27,"12 Corporate Woods Blvd.  Albany, NY, 12204",Albany,,N/A,Economic,236,75,75
"General Electric MDS, LLC",2018-01-16,2017-10-16,2017-10-16,"175 Science Parkway  Rochester, NY, 14620",Monroe,,N/A,Economic,47,89,89
Genesee Valley Group Health Association dba Lifetime Health Medical Group (Amherst Health Center),2017-12-31,2017-10-02,2017-10-02,"1185 Sweet Home Road  Amherst, NY, 14226",Erie,,N/A,Economic,55,90,90
Genesee Valley Group Health Association dba Lifetime Health Medical Group (Artemis Health),2017-12-31,2017-10-02,2017-10-02,"2561 Lac De Ville Boulevard, Suite 202  Rochester, NY, 14618",Monroe,,N/A,Economic,59,17,17
Genesee Valley Group Health Association dba Lifetime Health Medical Group (Folsom Health Center),2017-12-31,2017-10-02,2017-10-02,"1850 Brighton-Henrietta Town Line Road  Rochester, NY, 14623",Monroe,,N/A,Economic,60,68,68
Genesee Valley Group Health Association dba Lifetime Health Medical Group (Greece Health Center),2017-12-31,2017-10-02,2017-10-02,"470 Long Pond Road  Rochester, NY, 14612",Monroe,,N/A,Economic,61,46,46
Genesee Valley Group Health Association dba Lifetime Health Medical Group (Hamburg Health Center),2017-12-31,2017-10-02,2017-10-02,"151 Elmview Avenue  Hamburg, NY, 14075",Erie,,N/A,Economic,56,34,34
Genesee Valley Group Health Association dba Lifetime Health Medical Group (Mosher Health Center),2017-12-31,2017-10-02,2017-10-02,"899 Main Street  Buffalo, NY, 14203",Erie,,N/A,Economic,57,77,77
Genesee Valley Group Health Association dba Lifetime Health Medical Group (Perinton Health Center),2017-12-31,2017-10-02,2017-10-02,"77 Sully's Trail  Pittsford, NY, 14534",Monroe,,N/A,Economic,62,23,23
Genesee Valley Group Health Association dba Lifetime Health Medical Group (Westfall Pediatrics),2017-12-31,2017-10-02,2017-10-02,"2561 Lac De Ville Boulevard, Suite 200  Rochester, NY, 14618",Monroe,,N/A,Economic,63,7,7
Genesee Valley Group Health Association dba Lifetime Health Medical Group (Wilson Health Center),2017-12-31,2017-10-02,2017-10-02,"800 Carter Street  Rochester, NY, 14621",Monroe,,N/A,Economic,64,128,128
"Genpak, LLC",2017-07-10,2017-03-13,2017-03-13,"68 Warren Street  Glens Falls, NY, 12801",Warren,,N/A,Facility moving to North Carolina,1,55,55
"GL Bus Lines, Inc.",2017-04-06,2017-01-03,2017-01-03,"777 8th Avenue  New York, NY, 10036",New York,,N/A,Plant Layoff,1,80,80
Global Brands Group (Warehouse),2017-12-31,2017-09-29,2017-09-29,"14 Area Development Drive, Suite 200  Plattsburgh, NY, 12901",Clinton,,N/A,Economic,65,49,49
Gordon Industries Ltd. d/b/a Gordon Sinclair,2017-04-07,2017-01-06,2017-01-06,"1500 Plaza Avenue  New Hyde Park, NY, 11040",Nassau,,N/A,Relocation of the production facility to PA,1,81,81
Gourmet Guru (United Natural Foods),2017-05-11,2017-02-09,2017-02-09,"1123 Worthen St.  Bronx, NY, 10474",Bronx,,N/A,Relocation of operations,1,77,77
"Greatbatch, Ltd. (Integer)",2018-01-14,2017-10-16,2017-10-16,"4096 Barton Road  Clarence, NY, 14031",Erie,,N/A,Economic,46,59,59
Greenwich Associates,2017-10-28,2017-09-13,2017-09-13,"2875 Union Road, Unit #9  Buffalo, NY, 14227",Erie,,N/A,Economic,99,149,149
"GT Forge, Inc. d/b/a Gett",2017-09-13,2017-08-21,2017-08-21,"237 West 35th Street  New York, NY, 10001",New York,,N/A,Economic,112,1,1
"GT Forge, Inc. d/b/a Gett (35th St)",2017-09-13,2017-06-15,2017-06-15,"237 West 35th Street  New York, NY, 10001",New York,,N/A,Economic,157,36,36
"GT Forge, Inc. d/b/a Gett (Queens)",2017-09-13,2017-06-15,2017-06-15,"37-18 Northern Boulevard  Long Island City, NY, 11101",Queens,,N/A,Economic,159,26,26
"GTA Americas, LLC (Operations and Finance depts)",2017-09-15,2017-06-13,2017-06-13,"5 Pennsylvania Plaza  New York, NY, 10001",New York,,N/A,Outsourcing of its Operations and Finance depts,1,1,1
"GTA Americas, LLC (Operations and Finance depts)",2017-07-28,2017-04-27,2017-04-27,"5 Pennsylvania Plaza  New York, NY, 10001",New York,,N/A,Outsourcing of its Operations and Finance depts,2,2,2
"Guardian News & Media, LLC",2017-03-31,2017-04-03,2017-04-03,"222 Broadway  New York, NY, 10038",New York,,N/A,Economic,198,10,10
"Heritage Health and Housing, Inc. (3rd Ave)",2017-10-26,2017-07-31,2017-07-31,"3305 3rd Avenue  Bronx, NY, 10456",Bronx,,N/A,Economic,122,15,15
