state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
PA,"Bowhead Logistics Management, LLC",bowhead logistics management,"Bowhead Logistics Management, LLC",filed,,,,,,,,,,,,,,,,,,n:bowhead logistics management,,,Franklin County,42055,39.926772,-77.724521,county,Franklin,,2026-05-10,307,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,67fa392beea84ee4dc1dbd5c98ae83c2b18c4a0473e90002f896eebe,08d70109d9f8c9b8f7442cdffd510102030c0f78,2026-07-16,2026-07-19
PA,"Bowhead Logistics Management, LLC (Letterkenny Army Depot)",bowhead logistics management llc letterkenny army depot,"Bowhead Logistics Management, LLC",cleaned,,,,,,,,,,,,,,,,,,n:bowhead logistics management,,,Franklin County,42055,39.926772,-77.724521,county,Franklin,,2023-09-23,61,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,8374cd9d356871da38afa0b5595d75764740fdf99190d6146cdb70f0,e0a57f16e56af3fa38187d0d933a8fede4a6ac4c,2026-07-16,2026-07-19
PA,Bradford Regional Medical Center,bradford regional medical center,Bradford Regional Medical Center,filed,,,,,,,,,,,,,,,,,,n:bradford regional medical center,McKean borough,4246216,Erie County,42049,41.998484,-80.139587,place,McKean,,2026-05-02,238,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,ea4cbd929b0f6c8ca08b8753634ac1ca492308d45c16865644f9ccd3,a78d105fcf0b30c792361ea026b88721559472d1,2026-07-16,2026-07-19
PA,Brinks Home,brinks home,Brinks Home,filed,,56,employer,establishment,,,,,,,,,,,,,,n:brinks home,,,,,,,,Various Counties within the Commonwealth,,2023-03-05,81,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,6bb8eff8863d1b3d1ec092ef5c3450314e4ebd67c4098440f546175e,fe2211dcb15d7519c8115a0ae9ab7f5d653fa8bb,2026-07-16,2026-07-19
PA,Brook & Whittle,brook whittle,Brook & Whittle,filed,,,,,,,,,,,,,,,,,,n:brook whittle,,,Bucks County,42017,40.336887,-75.10706,county,Bucks,,2023-05-25,72,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,e6c9d134b20b9efcddf075935fb8fae03fb85b9b27a5885db3a520e1,10431566c3519a0da7f6f8c4fbf9b1a60114f792,2026-07-16,2026-07-19
PA,"Burch Logistics, LLC",burch logistics,"Burch Logistics, LLC",filed,,,,,,,,,,,,,,,,,,n:burch logistics,Philadelphia city,4260000,Philadelphia County,42101,40.009376,-75.133346,place,Philadelphia,,2023-09-30,54,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,cff3518ca5baad0a37fbdd5c8dd3e388fa856ed874628334d045e616,51933ed4875b475081cead7bfbedf4ebfbb7b0bd,2026-07-16,2026-07-19
PA,"Bush Industries, Inc.",bush industries,"Bush Industries, Inc.",filed,,337,sec-sic,enterprise,758604,,exact:post-era,2511,"Wood Household Furniture, (No Upholstered)",,,,,,,,automatic,cik:758604,Erie city,4224000,Erie County,42049,42.116594,-80.073503,place,Erie,,2026-04-30,51,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,18e12a578239e77d1f5dc97fff9fdd39544a313abbba743e41b66551,0a335b974aaa0e6da435f609ce92f0d9c331febd,2026-07-16,2026-07-19
PA,C.H. Briggs,c h briggs,C.H. Briggs,filed,,,,,,,,,,,,,,,,,,n:c h briggs,,,Berks County,42011,40.413957,-75.92686,county,Berks,,2023-02-01,104,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,32575092b4f2676a467eac6c8509d8d4c908cab439ce3a8d6b5e0e33,3328b636aa8441b84aa81c60a978acac9c77703a,2026-07-16,2026-07-19
PA,CJB Logistics,cjb logistics,CJB Logistics,filed,,,,,,,,,,,,,,,,,,n:cjb logistics,Philadelphia city,4260000,Philadelphia County,42101,40.009376,-75.133346,place,Philadelphia,,2025-11-16,101,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,d4b3b3be9049908ea832e7dbd821f99dcaafa4c4133105f10eae3149,564ba9f729ada7b0da002d7d191c1cec187cabda,2026-07-16,2026-07-19
PA,"CSL Behring, LLC",csl behring,"CSL Behring, LLC",filed,,325414,employer,establishment,,,,,,,,,,,,,,n:csl behring,Philadelphia city,4260000,Philadelphia County,42101,40.009376,-75.133346,place,Philadelphia,,2023-11-20,3,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,71ccef34749b88b11232154ce1446c73e040e877fdd4d719cbef03fb,1fe02bd8740fd1df7233a983f251d3416ddd79e4,2026-07-16,2026-07-19
