state,employer_name,normalized_name,canonical_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
UT,URS (EG&G Defense Materials),urs eg g defense materials,,,,,,,,,,,,,,,,,,n:urs eg g defense materials,Stockton town,4973050,Tooele County,49045,40.444132,-112.37442,place,Stockton,2013-03-11,,19,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,319333199f487170bd74ad58cd1eb5d40cbad25f014ffd999f7632ae,d33cff06da2fb490f48fb2ec2fe85acc7214fbb4,2026-07-16,2026-07-19
UT,Convergys,convergys,,,541512,sic-crosswalk,1062047,,exact,7373,Services-Computer Integrated Systems Design,,,,,,,,automatic,cik:1062047,Ogden city,4955980,Weber County,49057,41.228391,-111.968147,place,Ogden,2013-04-22,,175,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,3edf304fd25e19c531e819f3be79e8517a8ab8d4e9d0d0bf463f9487,66859118f59966ad0882fbe1e878f111daa16a7f,2026-07-16,2026-07-19
UT,URS (EG&G Defense Materials),urs eg g defense materials,,,,,,,,,,,,,,,,,,n:urs eg g defense materials,Stockton town,4973050,Tooele County,49045,40.444132,-112.37442,place,Stockton,2013-06-03,,193,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,cb9e9dab73fb85bc67ad70052d03fdc5efb70c60f63fe63a35f11511,3472b73ba01906516997879f2def885dab9f5494,2026-07-16,2026-07-19
UT,URS (EG&G Defense Materials),urs eg g defense materials,,,,,,,,,,,,,,,,,,n:urs eg g defense materials,Stockton town,4973050,Tooele County,49045,40.444132,-112.37442,place,Stockton,2013-07-01,,194,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,1651f61c280a3db445158b4bab59801b70f54ab1f1bd5b72ca43467b,7491bb80096ba4674eba1b26f7356a3d1e286308,2026-07-16,2026-07-19
UT,Convergys,convergys,,,541512,sic-crosswalk,1062047,,exact,7373,Services-Computer Integrated Systems Design,,,,,,,,automatic,cik:1062047,Orem city,4957300,Utah County,49049,40.298065,-111.699445,place,Orem,2013-07-20,,75,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,1b57452b8811523a5c9de34f84522e2dbd87b3242919ffc11509f77c,6ea9f3155bea4eaed7590bebe2e9197bede4e0c1,2026-07-16,2026-07-19
UT,Bank of America,bank of america,Bank of America,,522,sic-crosswalk,70858,BAC,exact,6021,National Commercial Banks,,,,Q487907,cik,,,automatic,qid:Q487907,South Jordan city,4970850,Salt Lake County,49035,40.555007,-111.992337,place,South Jordan,2013-08-29,,65,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,288a368fbce1a1894bdfa2b60b5825649aed5599abefe3cb632bd5c7,275c337644b534dadbf55dbdebd65edb02308088,2026-07-16,2026-07-19
UT,URS (EG&G Defense Materials),urs eg g defense materials,,,,,,,,,,,,,,,,,,n:urs eg g defense materials,Stockton town,4973050,Tooele County,49045,40.444132,-112.37442,place,Stockton,2013-12-02,,34,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,378965222e28677399930bb06d74a2f875b75ad993698b7793dad143,7fd011b388ed007309374ea093a4a9b81e140ec1,2026-07-16,2026-07-19
UT,First National Bank of Layton Mortgage Division,first national bank of layton mortgage division,,,,,,,,,,,,,,,,,,n:first national bank of layton mortgage division,,,,,,,,Draper & St. George,2013-12-16,,37,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,d5e66f851c37bb5388fdde49fd8ba211254081e779ae11776e6a12e2,d6d3f298d037649cde339327b4268451c0b731be,2026-07-16,2026-07-19
UT,GrubHub Seamless Inc.,grubhub seamless,Grubhub,,,,1594109,,exact,7389,"Services-Business Services, NEC",,,,Q17019647,cik,Wonder Group Inc.,,automatic,qid:Q17019647,Sandy city,4967440,Salt Lake County,49035,40.571714,-111.84987,place,Sandy,2013-12-20,,156,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,c89c25d93ffa4c54aeeee0a4f1177ce1f5a7e7c7729527f8a85136fe,5419862061e5321c941bf3467345f33108cd20aa,2026-07-16,2026-07-19
UT,CenturyLink,centurylink,Lumen Technologies,,5133,sic-crosswalk,18926,LUMN,exact,4813,Telephone Communications (No Radiotelephone),,,,Q5063092,cik,,,automatic,qid:Q5063092,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2014-01-22,,120,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,cfd4e51eecf9e1e3463c6d11f8bc18e168fcf6a1096808e2cfe7bbc0,1a3c5b306d4a9c9fc27819475ec5795e6b1c3a99,2026-07-16,2026-07-19
UT,Electronic Arts Inc.,electronic arts,Electronic Arts,,5239,employer,712515,EA,exact,7372,Services-Prepackaged Software,,,,Q173941,cik,,,automatic,qid:Q173941,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2014-01-30,,67,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,9d8f1d247b6d8829a793dfba0fbaca7ab8540b7b3ef2ba6349f2ad3a,134422ec111dae3fe9cba5b0136d087b9312fbb6,2026-07-16,2026-07-19
UT,Xerox Business Services,xerox business services,,,,,,,,,,,,,,,,,,n:xerox business services,Sandy city,4967440,Salt Lake County,49035,40.571714,-111.84987,place,Sandy,2014-02-13,,175,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,9008c1984aacd8d76f9d2fbada963012472d528be88847cff1a62d30,8d371f32325d4abbd94c5ae6def676bff92f22fb,2026-07-16,2026-07-19
