state,employer_name,normalized_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,wikidata_qid,parent_company,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
AK,Sam’s Club,sam s club,,,,,,,,,,,Fairbanks,2018-01-11,2018-03-16,177,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,4712e54ff42b09c37288320bc142b280c4b935b90593959806c06d8f,2b2e9e6e5b3ee980036cfac2aa5f36b7b32b47d6,2026-07-16,2026-07-19
AK,Sam’s Club,sam s club,,,,,,,,,,,Anchorage on Old Seward Hwy.,2018-01-11,2018-03-16,181,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,db52f532fb8b1b0e6a54ac3bdc0e3d5e6c249ae804c31b84383e6ec1,d0e6b862ae2c2d6248aab089cce7e8f3faaeb7ae,2026-07-16,2026-07-19
AK,Sam’s Club,sam s club,,,,,,,,,,,Anchorage on Muldoon Road,2018-01-11,2018-03-16,167,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,746433785d8720eb55845fb8ac66f87db57f5d16e36405b26a0b6196,f6ee1622ed86ee9f43349b98e3c6163ae006f352,2026-07-16,2026-07-19
AK,"Mistras Group, Inc. and subsidiary Quality Services Laboratories Inc.",mistras group inc and subsidiary quality services laboratories,,,,,,,,,,,Prudhoe Bay/ Anchorage,2018-01-23,2018-03-31,261,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,3119dffc75558f98157c8e7a43777c2043c715e22b8c26202cd243fd,b0878b082902244c3e2de8769a7b8827bede4171,2026-07-16,2026-07-19
AK,BAE Systems,bae systems,,,,1230244,,exact,,,,,"Clear, AK",2018-06-25,2018-08-31,101,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,c967746923fb9cb4af117af01f9262570f5fd24b1998cae9b4dcb2c5,df5ed49de3afea585971f483ffb8a68a99697d6b,2026-07-16,2026-07-19
AK,"Aleut O&M Services, LLC",aleut o m services,,,,,,,,,,,"Clear, AK",2018-07-02,2018-08-31,74,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,d750ddde90a5aaa180728ebc449560a340cb85b49916e68284acd733,cf6ce9d9b2a2ca005b6f4bf609bd5a12b2823fbe,2026-07-16,2026-07-19
AK,Nordstrom Anchorage,nordstrom anchorage,,,,,,,,,,,Anchorage,2019-06-26,2019-09-13,173,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,a44dfbd5d5aa02b1dbe9db039c67c94a63748a895ec2796ea307a9a5,1fa4f9d01ed0fd07084a422bd0bde565c6887a77,2026-07-16,2026-07-19
AK,AECOM,aecom,,,,868857,ACM,exact,,,Q2825507,,Eielson AFB,2019-12-06,2020-01-04,160,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,6e61296352927dbd1e39e7b8ca749a912ba8feee06b6702bdddf5a1c,c086517b02e290401e48854ff06885bf3d65b94b,2026-07-16,2026-07-19
AK,British Petroleum,british petroleum,,,,,,,,,,,North Slope,2019-12-19,2020-02-20,345,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,d888a662f78998f93884de530d87411511bc7b2edcab8a3f1a12b901,4564af788ccc8fa4a1187cdabca1575cb08a6881,2026-07-16,2026-07-19
AK,British Petroleum,british petroleum,,,,,,,,,,,Anchorage,2019-12-19,2020-02-20,287,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,016d71a6f5190397879060c2714e4365c5feb431f86f56aacbd66de0,cbf64467614fc1995a0d3fd1e741a44cdc42a505,2026-07-16,2026-07-19
AK,Alyeska Resort,alyeska resort,,,,,,,,,,,Girdwood,2020-03-18,2020-03-19,616,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,77f4b83b4e05d958882737f61d7df2bef7be72587bfce8105843818e,55981397bc257c97c4b8d8d4b761da9bf8012e48,2026-07-16,2026-07-19
AK,Alsco,alsco,,,,,,,,,,,Anchorage,2020-03-25,2020-03-25,21,unknown,1,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,6ab03306b9d1adf5131650b1c6c7e93b1699917d5b46bce9d6fa7674,e5e07306e6916e3960ac79d780392e61927e3a8e,2026-07-16,2026-07-19
AK,Westmark Anchorage,westmark anchorage,,,,,,,,,,,Anchorage,2020-03-25,2020-03-25,37,unknown,1,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,5a56f1cf994fa617a766c64b69f27e8a272897939b2358942a5e9bf6,a27c945ecfb5a50db0f3622e364f5c685d5ba53b,2026-07-16,2026-07-19
AK,Peak Oilfield Services,peak oilfield services,,,,,,,,,,,"North Slope, Kenai Peninsula, And Valdez",2020-04-01,2020-04-01,161,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,c5edefbbff36e62a59267f9b7d2c34432d6cfd2bf1005cbf4558a867,621ca12dd9d376d92477716fd16af2c1c305dcef,2026-07-16,2026-07-19
AK,Spenard Roadhouse,spenard roadhouse,,,,,,,,,,,Anchorage,2020-04-01,2020-04-17,77,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,3d2d6e53ad600a3a0d8e7304604901d23a09857ac8cad489b797d9fd,8c780931fad9d0e28614bddc3bc280a2768afa27,2026-07-16,2026-07-19
AK,Benihana,benihana,,,,,,,,,,,Anchorage,2020-04-02,2020-04-16,68,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,511b63d85c3262ba016f1a23bc91531ae98f3ca90d036c572a7fe53f,f8ddbbf7768ab93a53141aadd273ce1622b3ef16,2026-07-16,2026-07-19
AK,Crush Bistro,crush bistro,,,,,,,,,,,Anchorage,2020-04-02,2020-04-17,24,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,c69f89be7cdd3aa02acc2895a331d20e316b3ea62908a03b80ab6f93,603fcda7adaa41537322bad7dccd2896a20dcc12,2026-07-16,2026-07-19
AK,Snow City Café,snow city caf,,,,,,,,,,,Anchorage,2020-04-02,2020-04-17,37,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,af1438eb40510b95da31c1175dc5eed99d157a69a3a209a909a06d42,bb6d49be39b1fc5242dcd97adcc05b3c07ef664f,2026-07-16,2026-07-19
AK,South Restaurant & Coffeehouse,south restaurant coffeehouse,,,,,,,,,,,Anchorage,2020-04-02,2020-04-17,82,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,49a7b6f38c66caae7918cfcf1cd805c62a0a84857c8eb0ae8cc15076,6fef5b42f55228268ea437cac04973b392a347ed,2026-07-16,2026-07-19
AK,Halliburton Energy Services,halliburton energy services,,,,,,,,,,,Prudhoe Bay,2020-04-20,2020-04-20,80,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,bd797130b07664a60173113727f576385fc2e0a9c021a89de8fb169d,f3c36f7b97dbb79ec65dfea9586988548d05a28b,2026-07-16,2026-07-19
AK,Schlumberger Technology Corp.,schlumberger technology,,,,1831486,,exact,,,,,North Slope,2020-04-22,2020-04-22,129,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,86d3e4a05beb4e2450267d27ca4252814a7827cc04859b9d9bc65b24,dc309e1a7a0e7e7fec2a9cb06a2077d76afc403b,2026-07-16,2026-07-19
AK,Baker Hughes,baker hughes,,,,1701605,BKR,exact,,,Q804353,,North Slope,2020-04-27,2020-04-28,63,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,0e1814b8c07602954c78cd8abb9fd11fdf0c63399d06a8a9dba72641,cd79bd580b9e23a5c59df76a72b6f80c6c15e232,2026-07-16,2026-07-19
AK,Hard Rock Cafe International STP,hard rock cafe international stp,,,,,,,,,,,Anchorage,2020-04-27,2020-04-13,54,unknown,1,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,2623d327d53f2a1f72d9c62f2b080501bb4cbb3e5ab77b422637c7cc,0930e5b2d75e72c402d9f137d273fbe73de199ef,2026-07-16,2026-07-19
AK,Yukon-Kuskokwim Health Corporation,yukon kuskokwim health,,,,,,,,,,,Bethel and other Y-K Delta communities,2020-04-28,2020-04-29,300,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,e5cd01a5da2aa52bec78f347fe1ee20a1477a4b632fd5684d7bbf457,494486acef207a6cc5d5b3ce828ed73c3c08aeae,2026-07-16,2026-07-19
AK,Doyon Drilling Inc.,doyon drilling,,,,,,,,,,,North Slope,2020-05-01,2020-04-07,304,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,2de2ec2bc91f6651dfb5ac01812da857d29f6ca5f3957afd6336be48,f9967fe428ef5eed60a2154a2504df4b889025f4,2026-07-16,2026-07-19
AK,"Holland America Group, Carnival UK, Westmark Hotels, Inc., Tour Alaska, Inc., Royal Hyway Tours, Inc., Anchorage Westmark Hotel, Escorted Tour Operations, Anchorage Transportation, Anchorage Rail Division, Fairbanks Westmark Hotel, Fairbanks Transportation, Westmark McKinley Chalet Resort, Denali Princess Wilderness Lodge, Denali Transportation Division, Healy Homestead",holland america group carnival uk westmark hotels inc tour alaska inc royal hyway tours inc anchorage westmark hotel escorted tour operations anchorage transportation anchorage rail division fairbanks westmark hotel fairbanks transportation westmark mckinley chalet resort denali princess wilderness lodge denali transportation division healy homestead,,,,,,,,,,,"Anchorage, Fairbanks, Denali National Park and Healy",2020-05-19,2020-06-01,149,unknown,1,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,32e57c784c66b6043a6931308639f2d4279d65308cb535ee34d67dbf,ed7409dd00bc0d74f1c1246899e4366b00a49d0c,2026-07-16,2026-07-19
AK,Alaska Airlines,alaska airlines,,,,,,,,,,,Anchorage,2020-07-31,2020-10-01,331,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,027c2ec882013f2c8f327c70eff5ed4c813a1f7a20194f601cad8bdd,e1f55973020a3e21d04fe79bef76868425304d95,2026-07-16,2026-07-19
AK,Chenega Security and Support Solutions LLC,chenega security and support solutions,,,,,,,,,,,Shemya Island,2020-07-31,2020-09-30,64,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,ba89e6128e22366d2a24766ee95bc87d098a17ec2ca01973a2ea7bd3,f41d160fa769f061a59f93c474536cdf4e4f9581,2026-07-16,2026-07-19
AK,HMSHost – Fairbanks International Airport restaurants: The Local and Starbucks,hmshost fairbanks international airport restaurants the local and starbucks,,,,,,,,,,,Fairbanks,2020-08-12,2020-10-15,19,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,12dd1b2e58a6998d2a04bf36d9699393f9fa6644f093a2af3c2abdf3,d2c0ab256ac29f09aeb9e0fe61ce92619b4374f3,2026-07-16,2026-07-19
AK,"HMSHost – Ted Stevens Anchorage International Airport restaurants: Starbucks, Humpy’s Great Alaskan Alehouse, Norton Sound Seafood House, Cinnabon, Alaska Doghaus, Cream, Upper One Restaurant/Lounge, Mezzanine Bar, Anchorage Marketplace and Local Alaska Rustic Marketplace",hmshost ted stevens anchorage international airport restaurants starbucks humpy s great alaskan alehouse norton sound seafood house cinnabon alaska doghaus cream upper one restaurant lounge mezzanine bar anchorage marketplace and local alaska rustic marketplace,,,,,,,,,,,Anchorage,2020-08-12,2020-10-15,123,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,2fb65a702b6b5693803987a9c6f78a3f3cfa0f2a7a0574afe725ec27,3895781a1931a7cb5b7e244ff8363cf024b0b94f,2026-07-16,2026-07-19
AK,"RavnAir Group, Corvus Airlines, Hageland Aviation Services and Peninsula Aviation Services",ravnair group corvus airlines hageland aviation services and peninsula aviation services,,,,,,,,,,,"Anchorage and 20 smaller Alaska communities, plus Boston, Mass.",2020-09-30,2020-08-07,1234,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,75c98da4a693de29933555d484f80661aab02748d04b6fe3d2434f79,043bc1fb9d227a4867d470ea2c470eb63aaa5ace,2026-07-16,2026-07-19
AK,GCI Communication Group,gci communication group,,,,,,,,,,,Anchorage,2021-04-12,2021-08-01,59,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,a7b6eb74e5af2f2f63a7f8d1aad029203f14c4f45bebf3f4936cfeca,22bcbbe24f4f21ef90ea522425d92a3bc05bce2f,2026-07-16,2026-07-19
