state,location,notices,workers,reason
GA,"3311 E Old Shakopee Rd, Bloomington, Minnesota",1,687,no matching place
KS,5000 Kansas Avenue,1,687,no place name in the string
CA,Moffett Field,10,684,no matching place
WA,Seattle-Renton,1,684,no matching place
TN,Antioch,6,672,no matching place
CA,Death Valley,4,670,no matching place
ND,"Watsonville, CA",1,670,no matching place
IL,"17 E Monroe Chicago, IL 60603",1,669,no matching place
IL,"PO BOX 66-366 CHICAGO, IL 60666",2,665,no matching place
MI,"Bay City, Belleville, Brownstown, Burton, Detroit, Flint, Grand Blanc, Grand Rapids, Lake Orion, Lansing, Milford, Pontiac, Romulus, Saginaw, Swartz Creek, Warren, Waterford, Ypsilanti",1,664,16 distinct places named
MI,"Bay City, Michigan; Belleville, Michigan; Brownstown, Michigan; Burton, Michigan; Detroit, Michigan; Flint, Michigan; Grand Blanc, Michigan; Grand Rapids, Michigan; Lake Orion, Michigan; Lansing, Michigan; Milford, Michigan; Pontiac, Michigan; Romulus, Michigan; Saginaw, Michigan; Swartz Creek, Michigan; Warren, Michigan; Waterford, Michigan; and Ypsilanti, Michigan",1,664,16 distinct places named
KY,Statewide,6,660,no matching place
AL,Coosa Pines,3,659,no matching place
CA,CAMINO DE LA SIESTA,6,659,no matching place
GA,Cartersvile,1,659,no matching place
GA,Watsonville,1,658,no matching place
WI,"Appleton, Brookfield, Green Bay, Madison, Onalaska, Milwaukee, Racine, and Janesville",2,652,8 distinct places named
NC,One Quality Way Fletcher NC 28732,1,650,no matching place
OH,Fairfield/Butler,7,650,2 distinct places named
OH,Heights,4,650,no matching place
AL,State Wide,1,648,no matching place
RI,Rhode Island,4,647,no matching place
WI,"Appleton, Brookfield, Eau Claire, Franklin, Green Bay, Janesville, Kenosha, Madison, Manitowoc, Menomonee Falls, Monona, Onalaska, Oshkosh, Racine, Rhinelander, Rice Lake, Waukesha, Wausau, Wauwatosa, West Allis, West Bend",1,639,21 distinct places named
FL,AMELIA ISLAND,1,638,no matching place
GA,Kings Bay,5,636,no matching place
FL,32401,1,634,no place name in the string
IL,"420 Long Lane Road Equality, IL 62934",2,634,no matching place
IN,EvansvilleIndianapolis,1,633,no matching place
CO,ADWorks,9,628,no matching place
CA,Redwood Shores,3,627,no matching place
IL,"1 Rock Island Arsenal # 60 Rock Island, IL 61299-5000",5,627,no matching place
IL,"ROCK ISLAND ARSENAL ROCK ISLAND, IL 61299",5,627,no matching place
GA,"700 N Van Ness Ave, Fresno, California",1,625,no matching place
AL,Eastaboga,2,623,no matching place
GA,Pine Mountian Vall,1,622,no matching place
AK,Girdwood,1,616,no matching place
NJ,Monroe,4,615,no matching place
WI,"Grafton, Saukville",3,612,2 distinct places named
IL,"PO BOX 144, BEALL WOODS RD KEENSBURG, IL 62852",1,611,no matching place
MI,"Ann Arbor, Clinton Township, Dearborn, Grand Rapids, Lansing, Livonia, Rochester, and Troy, Counties: Ingham, Kent, Macomb, Oakland, Washtenaw and Wayne, Number Affected: 600",1,600,10 distinct places named
WA,"Kent, Everett, Spokane",1,600,2 distinct places named
IL,"250 S. Grove Elgin, IL 60120",1,598,no matching place
IL,"P.O. Box 348 Aurora, IL 60507",1,596,no matching place
IL,"RT 104 PAWNEE, IL 62558",2,596,no matching place
