state,source,notice_year,notices,workers
DC,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications,2017,5,527
DC,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications,2018,4,1244
DC,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications,2019,10,877
DC,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications,2020,53,13189
DC,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications,2021,2,264
DC,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications,2022,8,1319
DC,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications,2023,5,811
DC,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications,2024,9,1143
DC,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications,2025,36,4268
DC,https://does.dc.gov/page/industry-closings-and-layoffs-warn-notifications,2026,8,1182
DE,https://joblink.delaware.gov/search/warn_lookups,2007,1,400
DE,https://joblink.delaware.gov/search/warn_lookups,2013,3,1295
DE,https://joblink.delaware.gov/search/warn_lookups,2015,5,155
DE,https://joblink.delaware.gov/search/warn_lookups,2016,5,111
DE,https://joblink.delaware.gov/search/warn_lookups,2019,6,535
DE,https://joblink.delaware.gov/search/warn_lookups,2020,24,1352
DE,https://joblink.delaware.gov/search/warn_lookups,2026,2,68
FL,https://reactwarn.floridajobs.org/WarnList/,2015,83,11560
FL,https://reactwarn.floridajobs.org/WarnList/,2016,99,11307
FL,https://reactwarn.floridajobs.org/WarnList/,2017,176,18989
FL,https://reactwarn.floridajobs.org/WarnList/,2018,123,17769
FL,https://reactwarn.floridajobs.org/WarnList/,2019,146,12614
FL,https://reactwarn.floridajobs.org/WarnList/,2020,1121,165806
FL,https://reactwarn.floridajobs.org/WarnList/,2021,102,12121
FL,https://reactwarn.floridajobs.org/WarnList/,2022,101,9277
FL,https://reactwarn.floridajobs.org/WarnList/,2023,184,10188
FL,https://reactwarn.floridajobs.org/WarnList/,2024,222,11871
FL,https://reactwarn.floridajobs.org/WarnList/,2025,248,20448
FL,https://reactwarn.floridajobs.org/WarnList/,2026,183,12197
FL,https://web.archive.org/web/19990601000000/http://www.floridajobs.org/react/warn.asp?year=1998,1998,126,19468
FL,https://web.archive.org/web/20000601000000/http://www.floridajobs.org/react/warn.asp?year=1999,1999,120,13947
FL,https://web.archive.org/web/20010601000000/http://www.floridajobs.org/react/warn.asp?year=2000,2000,133,18501
FL,https://web.archive.org/web/20020601000000/http://www.floridajobs.org/react/warn.asp?year=2001,2001,233,24365
FL,https://web.archive.org/web/20030601000000/http://www.floridajobs.org/react/warn.asp?year=2002,2002,171,18590
FL,https://web.archive.org/web/20040601000000/http://www.floridajobs.org/react/warn.asp?year=2003,2003,153,20581
FL,https://web.archive.org/web/20050601000000/http://www.floridajobs.org/react/warn.asp?year=2004,2004,147,18673
FL,https://web.archive.org/web/20060601000000/http://www.floridajobs.org/react/warn.asp?year=2005,2005,113,16702
FL,https://web.archive.org/web/20070601000000/http://www.floridajobs.org/react/warn.asp?year=2006,2006,116,17589
FL,https://web.archive.org/web/20080601000000/http://www.floridajobs.org/react/warn.asp?year=2007,2007,181,18197
FL,https://web.archive.org/web/20090601000000/http://www.floridajobs.org/react/warn.asp?year=2008,2008,223,30651
FL,https://web.archive.org/web/20100601000000/http://www.floridajobs.org/react/warn.asp?year=2009,2009,205,23003
FL,https://web.archive.org/web/20110601000000/http://www.floridajobs.org/react/warn.asp?year=2010,2010,113,15040
FL,https://web.archive.org/web/20120601000000/http://www.floridajobs.org/react/warn.asp?year=2011,2011,130,17373
FL,https://web.archive.org/web/20130601000000/http://www.floridajobs.org/react/warn.asp?year=2012,2012,168,17823
