iebs_id,old_notice_id,old_version,old_dedupe_key,old_raw_record_hash,old_employer_name,old_workers,new_notice_id,new_dedupe_key,new_source_notice_id,new_employer_name,new_workers,status
20021120001,22564,2,a48cba5dcad967aaef44a2a2b7be6553a8359041,0144c37f20edf107763b8a0a72feb4f535be6f7e,TCF National Bank,115,27045,7f42f65ec2e6bee69d7c7f544af046b3f2c60881,23139caeb5fd00c483a58be4300369219fd043bb4e29991f9ac3f1ac,TCF National Bank,115,matched_iebs_id
20021125001,22565,1,b7bfaa1bb824aacd009296b18c5c2981b069cf17,2b85eeb108a92fea59d741a862b06c72c5bc6a41,IBM,,27046,bebcdbc1aad5281b46db2b37b92b991aea4ca52e,c098be41b7085d33661ef1da7313b139e4ccb0d44a8643e697aeeda5,IBM,,matched_iebs_id
20021206001,22566,1,47a4c54c6d3649a441295fc27d62ec9b5d2ccd82,10a0b30f5f3a6084892d87a901d077e3096a881e,ATC,104,27047,52c8cacfce7e2756d82c0f4abebafa5ca28a5bc4,1e75c5be9bbdcc820afa1265a683b28ddebd6eeaaa9f1a2e19b4c1ec,ATC,104,matched_iebs_id
20021206001,22566,2,47a4c54c6d3649a441295fc27d62ec9b5d2ccd82,e4f23bd57b71fea9839e72bbd1f17d35c1eb9b88,ATC,104,27047,52c8cacfce7e2756d82c0f4abebafa5ca28a5bc4,1e75c5be9bbdcc820afa1265a683b28ddebd6eeaaa9f1a2e19b4c1ec,ATC,104,matched_iebs_id
20021206002,22550,1,63235b6b88848a262c80d9fd1821eb24136f1bdd,e191dd4a509b9d4786e2b3f6fb3a327e62bb302d,PWS (US FILTER),78,27031,7dc2720ab6b614ddf599b7612bbcb4b0fffcf26f,d8792824dc7de26444b5f0ea3f2d8111e0d2afbcbde576567d3b2772,PWS (US FILTER),78,matched_iebs_id
20021206002,22550,2,63235b6b88848a262c80d9fd1821eb24136f1bdd,ff50fedb3abee8ca1c55f0d555dde5b03e7046bf,PWS (US FILTER),78,27031,7dc2720ab6b614ddf599b7612bbcb4b0fffcf26f,d8792824dc7de26444b5f0ea3f2d8111e0d2afbcbde576567d3b2772,PWS (US FILTER),78,matched_iebs_id
20021209001,22567,1,7291a6ff50494eb2893d8dd982ad7575bf8cb9ee,03eb138b7a995e3a8f5d991617fb11d03f65490b,"SUPRA TELECOMMUNICATIONS & INFORMATION SYSTEMS, INC.",304,27048,961d5f80f28f52937121b659bafb0718df823766,6c05e543d4a7799634ae30aab0d576bff3da71d34dba213074ed4f11,"SUPRA TELECOMMUNICATIONS & INFORMATION SYSTEMS, INC.",304,matched_iebs_id
20021209001,22567,2,7291a6ff50494eb2893d8dd982ad7575bf8cb9ee,ce24f1bca2f6c452920c217d1b9643efbfffec01,"SUPRA TELECOMMUNICATIONS & INFORMATION SYSTEMS, INC.",304,27048,961d5f80f28f52937121b659bafb0718df823766,6c05e543d4a7799634ae30aab0d576bff3da71d34dba213074ed4f11,"SUPRA TELECOMMUNICATIONS & INFORMATION SYSTEMS, INC.",304,matched_iebs_id
20021211001,22568,1,b379a677aa7d6a65f02779bc9cfa824c89f96a97,51e0e85b755fa6d017d0618e451d1b7526bfdc6f,MITSUBISHI ELECTRIC AUTOMATION INC.,50,27049,e0286e1812db747986e8f299ce605d406390c81d,31a6a22ff64415919b1126776028d15dcad3cabea276cd416412c63a,MITSUBISHI ELECTRIC AUTOMATION INC.,50,matched_iebs_id
20021213001,22569,1,c966627494c846fc84f1d6a6f073d24389e5a6c7,bb8360f47cd64b2ff4f2c4b1e088983b280e6497,PORCELAIN PRODUCTS COMAPNY,171,27050,20fe48493bdc2c090ac6f71f7f9d74b2422b2c3c,699e265f1cbef7f719cf12bf67643e1eb37b96bbc02204f45104cd91,PORCELAIN PRODUCTS COMAPNY,171,matched_iebs_id
20021217001,22570,1,c11e16329412fd7c12c0a5bdf8d4a972b1a8e354,009825fba2ec419a7911e0964d5af4db16177a95,AUTOCAM - HAR MANUFACTURING,105,27051,9d90a97ca2217f651ae35daeccc049debf5f95ba,8e16ce66a12eaadd13d8faa8aea71a25b269231cf1c2f848f49e093f,AUTOCAM - HAR MANUFACTURING,105,matched_iebs_id
